state,district,case,cured,active,death
"maharashtra","pune","<div class=""td-dc"">212563</div><div class=""td-ddc""><span class=""skgm-inc""></span>5128</div>","<div class=""td-dr"">142618</div><div class=""td-ddr""><span class=""skgm-inc""></span>2580</div>","<div class=""td-da"">65361</div>","<div class=""td-dd"">4584</div><div class=""td-ddd""><span class=""skgm-inc""></span>46</div>"
"maharashtra","mumbai","<div class=""td-dc"">160744</div><div class=""td-ddc""><span class=""skgm-inc""></span>1988</div>","<div class=""td-dr"">126743</div><div class=""td-ddr""><span class=""skgm-inc""></span>837</div>","<div class=""td-da"">25665</div>","<div class=""td-dd"">7985</div><div class=""td-ddd""><span class=""skgm-inc""></span>43</div>"
"maharashtra","thane","<div class=""td-dc"">148690</div><div class=""td-ddc""><span class=""skgm-inc""></span>2470</div>","<div class=""td-dr"">117055</div><div class=""td-ddr""><span class=""skgm-inc""></span>696</div>","<div class=""td-da"">27576</div>","<div class=""td-dd"">4058</div><div class=""td-ddd""><span class=""skgm-inc""></span>50</div>"
"maharashtra","nashik","<div class=""td-dc"">49651</div><div class=""td-ddc""><span class=""skgm-inc""></span>1335</div>","<div class=""td-dr"">37820</div><div class=""td-ddr""><span class=""skgm-inc""></span>893</div>","<div class=""td-da"">10827</div>","<div class=""td-dd"">1004</div><div class=""td-ddd""><span class=""skgm-inc""></span>15</div>"
"maharashtra","nagpur","<div class=""td-dc"">42974</div><div class=""td-ddc""><span class=""skgm-inc""></span>2113</div>","<div class=""td-dr"">23511</div><div class=""td-ddr""><span class=""skgm-inc""></span>1031</div>","<div class=""td-da"">18322</div>","<div class=""td-dd"">1137</div><div class=""td-ddd""><span class=""skgm-inc""></span>29</div>"
"maharashtra","raigad","<div class=""td-dc"">37548</div><div class=""td-ddc""><span class=""skgm-inc""></span>1099</div>","<div class=""td-dr"">27248</div><div class=""td-ddr""><span class=""skgm-inc""></span>624</div>","<div class=""td-da"">9416</div>","<div class=""td-dd"">882</div><div class=""td-ddd""><span class=""skgm-inc""></span>10</div>"
"maharashtra","jalgaon","<div class=""td-dc"">33138</div><div class=""td-ddc""><span class=""skgm-inc""></span>615</div>","<div class=""td-dr"">24466</div><div class=""td-ddr""><span class=""skgm-inc""></span>989</div>","<div class=""td-da"">7709</div>","<div class=""td-dd"">963</div><div class=""td-ddd""><span class=""skgm-inc""></span>12</div>"
"maharashtra","kolhapur","<div class=""td-dc"">30069</div><div class=""td-ddc""><span class=""skgm-inc""></span>1036</div>","<div class=""td-dr"">19037</div><div class=""td-ddr""><span class=""skgm-inc""></span>380</div>","<div class=""td-da"">10195</div>","<div class=""td-dd"">837</div><div class=""td-ddd""><span class=""skgm-inc""></span>16</div>"
"maharashtra","palghar","<div class=""td-dc"">28981</div><div class=""td-ddc""><span class=""skgm-inc""></span>438</div>","<div class=""td-dr"">23102</div><div class=""td-ddr""><span class=""skgm-inc""></span>468</div>","<div class=""td-da"">5220</div>","<div class=""td-dd"">659</div><div class=""td-ddd""><span class=""skgm-inc""></span>12</div>"
"maharashtra","aurangabad","<div class=""td-dc"">27122</div><div class=""td-ddc""><span class=""skgm-inc""></span>860</div>","<div class=""td-dr"">20035</div><div class=""td-ddr""><span class=""skgm-inc""></span>853</div>","<div class=""td-da"">6365</div>","<div class=""td-dd"">722</div><div class=""td-ddd""><span class=""skgm-inc""></span>12</div>"
"maharashtra","ahmednagar","<div class=""td-dc"">26356</div><div class=""td-ddc""><span class=""skgm-inc""></span>621</div>","<div class=""td-dr"">19849</div><div class=""td-ddr""><span class=""skgm-inc""></span>456</div>","<div class=""td-da"">6135</div>","<div class=""td-dd"">372</div><div class=""td-ddd""><span class=""skgm-inc""></span>8</div>"
"maharashtra","solapur","<div class=""td-dc"">24439</div><div class=""td-ddc""><span class=""skgm-inc""></span>612</div>","<div class=""td-dr"">17578</div><div class=""td-ddr""><span class=""skgm-inc""></span>261</div>","<div class=""td-da"">5974</div>","<div class=""td-dd"">886</div><div class=""td-ddd""><span class=""skgm-inc""></span>19</div>"
"maharashtra","sangli","<div class=""td-dc"">20924</div><div class=""td-ddc""><span class=""skgm-inc""></span>719</div>","<div class=""td-dr"">11936</div><div class=""td-ddr""><span class=""skgm-inc""></span>1005</div>","<div class=""td-da"">8356</div>","<div class=""td-dd"">632</div><div class=""td-ddd""><span class=""skgm-inc""></span>36</div>"
"maharashtra","satara","<div class=""td-dc"">20657</div><div class=""td-ddc""><span class=""skgm-inc""></span>851</div>","<div class=""td-dr"">12185</div><div class=""td-ddr""><span class=""skgm-inc""></span>734</div>","<div class=""td-da"">8017</div>","<div class=""td-dd"">453</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"maharashtra","latur","<div class=""td-dc"">11029</div><div class=""td-ddc""><span class=""skgm-inc""></span>404</div>","<div class=""td-dr"">6547</div><div class=""td-ddr""><span class=""skgm-inc""></span>224</div>","<div class=""td-da"">4150</div>","<div class=""td-dd"">332</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"maharashtra","nanded","<div class=""td-dc"">10249</div><div class=""td-ddc""><span class=""skgm-inc""></span>313</div>","<div class=""td-dr"">4724</div><div class=""td-ddr""><span class=""skgm-inc""></span>72</div>","<div class=""td-da"">5248</div>","<div class=""td-dd"">277</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"maharashtra","dhule","<div class=""td-dc"">9978</div><div class=""td-ddc""><span class=""skgm-inc""></span>211</div>","<div class=""td-dr"">7310</div><div class=""td-ddr""><span class=""skgm-inc""></span>83</div>","<div class=""td-da"">2417</div>","<div class=""td-dd"">249</div><div class=""td-ddd""><span class=""skgm-inc""></span>11</div>"
"maharashtra","osmanabad","<div class=""td-dc"">7790</div><div class=""td-ddc""><span class=""skgm-inc""></span>186</div>","<div class=""td-dr"">4967</div><div class=""td-ddr""><span class=""skgm-inc""></span>190</div>","<div class=""td-da"">2605</div>","<div class=""td-dd"">218</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"maharashtra","amravati","<div class=""td-dc"">6727</div><div class=""td-ddc""><span class=""skgm-inc""></span>305</div>","<div class=""td-dr"">4804</div><div class=""td-ddr""><span class=""skgm-inc""></span>180</div>","<div class=""td-da"">1770</div>","<div class=""td-dd"">153</div><div class=""td-ddd""></div>"
"maharashtra","beed","<div class=""td-dc"">6189</div><div class=""td-ddc""><span class=""skgm-inc""></span>181</div>","<div class=""td-dr"">4114</div><div class=""td-ddr""><span class=""skgm-inc""></span>61</div>","<div class=""td-da"">1903</div>","<div class=""td-dd"">172</div><div class=""td-ddd""><span class=""skgm-inc""></span>8</div>"
"maharashtra","ratnagiri","<div class=""td-dc"">5512</div><div class=""td-ddc""><span class=""skgm-inc""></span>115</div>","<div class=""td-dr"">3150</div><div class=""td-ddr""><span class=""skgm-inc""></span>33</div>","<div class=""td-da"">2188</div>","<div class=""td-dd"">174</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"maharashtra","jalna","<div class=""td-dc"">5503</div><div class=""td-ddc""><span class=""skgm-inc""></span>218</div>","<div class=""td-dr"">3525</div><div class=""td-ddr""><span class=""skgm-inc""></span>123</div>","<div class=""td-da"">1826</div>","<div class=""td-dd"">152</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","akola","<div class=""td-dc"">4792</div><div class=""td-ddc""><span class=""skgm-inc""></span>143</div>","<div class=""td-dr"">3316</div><div class=""td-ddr""><span class=""skgm-inc""></span>57</div>","<div class=""td-da"">1308</div>","<div class=""td-dd"">167</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","buldhana","<div class=""td-dc"">4517</div><div class=""td-ddc""><span class=""skgm-inc""></span>182</div>","<div class=""td-dr"">2998</div><div class=""td-ddr""><span class=""skgm-inc""></span>118</div>","<div class=""td-da"">1428</div>","<div class=""td-dd"">91</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","chandrapur","<div class=""td-dc"">4463</div><div class=""td-ddc""><span class=""skgm-inc""></span>296</div>","<div class=""td-dr"">1895</div><div class=""td-ddr""><span class=""skgm-inc""></span>142</div>","<div class=""td-da"">2517</div>","<div class=""td-dd"">51</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
